
[2018-06-06 16:30:47.188] 92|-1.009;-0.083;0.100|0.7;-0.3;3.0|-134.9;82.7;39.5|2
[2018-06-06 16:30:47.298] 93|-1.009;-0.083;0.100|0.5;-0.3;3.0|-134.9;82.7;39.5|3
[2018-06-06 16:30:47.396] 94|-1.009;-0.082;0.100|0.6;-0.2;3.0|-134.9;82.7;39.5|2
[2018-06-06 16:30:47.496] 95|-1.009;-0.083;0.100|0.5;-0.3;3.0|-134.9;82.7;39.5|3
[2018-06-06 16:30:47.589] 96|-1.009;-0.083;0.100|0.6;-0.3;3.0|-134.9;82.7;39.5|2
[2018-06-06 16:30:47.699] 97|-1.009;-0.082;0.100|0.5;-0.3;3.0|-134.9;82.7;39.5|3
[2018-06-06 16:30:47.793] 98|-1.009;-0.083;0.100|0.6;-0.3;3.0|-134.9;82.7;39.5|2
[2018-06-06 16:30:47.890] 99|-1.009;-0.083;0.100|0.5;-0.3;3.1|-134.9;82.7;39.5|3
[2018-06-06 16:30:47.999] 100|-1.010;-0.082;0.100|0.7;-0.2;3.1|-134.9;82.7;39.5|2
[2018-06-06 16:30:48.093] 101|-1.010;-0.083;0.099|0.5;-0.4;3.1|-134.9;82.7;39.5|3
[2018-06-06 16:30:48.202] 102|-1.009;-0.082;0.100|0.6;-0.3;3.0|-134.9;82.7;39.5|2
[2018-06-06 16:30:48.296] 103|-1.014;-0.076;0.094|0.8;-0.2;3.0|-134.9;82.7;39.5|3
[2018-06-06 16:30:48.405] 104|-1.009;-0.082;0.098|0.7;-0.1;3.0|-134.9;82.7;39.5|2
[2018-06-06 16:30:48.499] 105|-1.009;-0.084;0.103|0.5;-0.3;3.0|-134.9;82.7;39.5|3
[2018-06-06 16:30:48.593] 106|-1.009;-0.084;0.101|0.5;-0.3;2.9|-134.9;82.7;39.5|2
[2018-06-06 16:30:48.702] 107|-1.009;-0.082;0.099|0.4;-0.4;3.2|-134.9;82.7;39.5|3
[2018-06-06 16:30:48.796] 108|-1.009;-0.082;0.099|0.7;-0.1;2.9|-134.9;82.7;39.5|2
[2018-06-06 16:30:48.908] 109|-1.010;-0.082;0.100|0.6;-0.3;3.0|-134.9;82.7;39.5|3
[2018-06-06 16:30:48.999] 110|-1.009;-0.083;0.101|0.5;-0.2;3.1|-134.9;82.7;39.5|2
[2018-06-06 16:30:49.108] 111|-1.009;-0.082;0.100|0.6;-0.3;2.9|-134.9;82.7;39.5|3
[2018-06-06 16:30:49.202] 112|-1.010;-0.082;0.100|0.7;-0.3;3.1|-134.9;82.7;39.5|2
[2018-06-06 16:30:49.296] 113|-1.009;-0.082;0.099|0.6;-0.3;2.9|-134.9;82.7;39.5|3
[2018-06-06 16:30:49.405] 114|-1.009;-0.082;0.099|0.5;-0.2;3.1|-134.9;82.7;39.5|2
[2018-06-06 16:30:49.499] 115|-1.010;-0.083;0.100|0.7;-0.2;3.0|-134.9;82.7;39.5|3
[2018-06-06 16:30:49.608] 116|-1.010;-0.083;0.101|0.5;-0.4;3.1|-134.9;82.7;39.5|2
[2018-06-06 16:30:49.702] 117|-1.009;-0.083;0.100|0.6;-0.3;3.1|-134.9;82.7;39.5|3
[2018-06-06 16:30:49.812] 118|-1.010;-0.082;0.100|0.6;-0.3;3.0|-134.9;82.7;39.5|2
[2018-06-06 16:30:49.906] 119|-1.009;-0.082;0.100|0.6;-0.4;3.1|-134.9;82.7;39.5|3
[2018-06-06 16:30:50.000] 120|-1.009;-0.082;0.100|0.6;-0.2;3.0|-134.9;82.7;39.5|2
[2018-06-06 16:30:50.109] 121|-1.009;-0.083;0.100|0.7;-0.3;3.0|-134.9;82.7;39.5|3
[2018-06-06 16:30:50.203] 122|-1.009;-0.083;0.099|0.6;-0.3;3.0|-134.9;82.7;39.5|2
[2018-06-06 16:30:50.312] 123|-1.009;-0.082;0.100|0.6;-0.2;3.0|-134.9;82.7;39.5|3
[2018-06-06 16:30:50.406] 124|-1.010;-0.082;0.101|0.5;-0.2;2.9|-134.9;82.7;39.5|2
[2018-06-06 16:30:50.515] 125|-1.009;-0.083;0.100|0.6;-0.2;3.0|-134.9;82.7;39.5|3
[2018-06-06 16:30:50.609] 126|-1.009;-0.082;0.100|0.6;-0.3;3.0|-134.9;82.7;39.5|2
[2018-06-06 16:30:50.706] 127|-1.009;-0.083;0.099|0.7;-0.2;3.1|-134.9;82.7;39.5|3
[2018-06-06 16:30:50.815] 128|-1.009;-0.082;0.100|0.6;-0.4;3.0|-134.9;82.7;39.5|2
[2018-06-06 16:30:50.909] 129|-1.010;-0.083;0.100|0.5;-0.3;2.9|-134.9;82.7;39.5|3
[2018-06-06 16:30:51.018] 130|-1.009;-0.082;0.099|0.6;-0.2;3.1|-134.9;82.7;39.5|2
[2018-06-06 16:30:51.112] 131|-1.010;-0.083;0.100|0.5;-0.4;3.1|-134.9;82.7;39.5|3
[2018-06-06 16:30:51.206] 132|-1.009;-0.083;0.100|0.6;-0.1;3.1|-134.9;82.7;39.5|2
[2018-06-06 16:30:51.315] 133|-1.009;-0.083;0.100|0.6;-0.3;3.2|-134.9;82.7;39.5|3
[2018-06-06 16:30:51.409] 134|-1.010;-0.083;0.100|0.5;-0.4;3.1|-134.9;82.7;39.5|2
[2018-06-06 16:30:51.518] 135|-1.010;-0.083;0.101|0.6;-0.3;3.1|-134.9;82.7;39.5|3
[2018-06-06 16:30:51.612] 136|-1.009;-0.083;0.100|0.6;-0.3;3.1|-134.9;82.7;39.5|2
[2018-06-06 16:30:51.721] 137|-1.010;-0.082;0.100|0.6;-0.3;3.1|-134.9;82.7;39.5|3
[2018-06-06 16:30:51.815] 138|-1.010;-0.083;0.101|0.5;-0.3;3.0|-134.9;82.7;39.5|2
[2018-06-06 16:30:51.909] 139|-1.009;-0.083;0.100|0.5;-0.2;2.9|-134.9;82.7;39.5|3
[2018-06-06 16:30:52.018] 140|-1.009;-0.083;0.100|0.6;-0.4;3.0|-134.9;82.7;39.5|2
[2018-06-06 16:30:52.112] 141|-1.009;-0.082;0.099|0.8;-0.4;3.1|-134.9;82.7;39.5|3
[2018-06-06 16:30:52.221] 142|-1.010;-0.083;0.100|0.5;-0.4;3.0|-134.9;82.7;39.5|2
[2018-06-06 16:30:52.315] 143|-1.010;-0.083;0.100|0.6;-0.4;3.1|-134.9;82.7;39.5|3
[2018-06-06 16:30:52.425] 144|-1.009;-0.082;0.100|0.5;-0.2;3.1|-134.9;82.7;39.5|2
[2018-06-06 16:30:52.524] 145|-1.010;-0.082;0.100|0.7;-0.3;3.0|-134.9;82.7;39.5|3
[2018-06-06 16:30:52.618] 146|-1.009;-0.082;0.099|0.7;-0.3;3.1|-134.9;82.7;39.5|2
[2018-06-06 16:30:52.728] 147|-1.009;-0.083;0.099|0.7;-0.2;3.1|-134.9;82.7;39.5|3
[2018-06-06 16:30:52.821] 148|-1.009;-0.083;0.100|0.5;-0.2;3.0|-134.9;82.7;39.5|2
[2018-06-06 16:30:52.915] 149|-1.009;-0.083;0.100|0.7;-0.3;3.0|-134.9;82.7;39.5|3
[2018-06-06 16:30:53.024] 150|-1.010;-0.083;0.100|0.4;-0.3;3.0|-134.9;82.7;39.5|2
[2018-06-06 16:30:53.118] 151|-1.009;-0.083;0.101|0.6;-0.3;3.2|-134.9;82.7;39.5|3
[2018-06-06 16:30:53.228] 152|-1.010;-0.082;0.100|0.7;-0.3;3.1|-134.9;82.7;39.6|2
[2018-06-06 16:30:53.321] 153|-1.009;-0.083;0.100|0.6;-0.2;3.0|-134.9;82.7;39.5|3
[2018-06-06 16:30:53.431] 154|-1.010;-0.083;0.100|0.5;-0.3;3.1|-134.9;82.7;39.5|2
[2018-06-06 16:30:53.524] 155|-1.009;-0.083;0.100|0.6;-0.3;3.0|-134.9;82.7;39.5|3
[2018-06-06 16:30:53.618] 156|-1.009;-0.083;0.100|0.5;-0.4;3.1|-134.9;82.7;39.5|2
[2018-06-06 16:30:53.727] 157|-1.010;-0.083;0.099|0.6;-0.3;2.9|-134.9;82.7;39.6|3
[2018-06-06 16:30:53.821] 158|-1.009;-0.083;0.100|0.6;-0.2;3.0|-134.9;82.7;39.6|2
[2018-06-06 16:30:53.931] 159|-1.009;-0.083;0.100|0.6;-0.2;3.0|-134.8;82.7;39.6|3
