

[2018-06-06 15:04:53.194] 87|-1.002;-0.041;0.131|0.7;-0.7;3.3|-161.1;82.1;13.4|0
[2018-06-06 15:04:53.209] 88|-0.999;-0.042;0.129|0.7;-0.9;3.2|-161.1;82.1;13.5|0
[2018-06-06 15:04:53.225] 89|-1.001;-0.042;0.129|0.7;-0.9;3.2|-160.9;82.1;13.7|0
[2018-06-06 15:04:53.225] 90|-1.000;-0.042;0.129|0.7;-0.7;3.1|-160.8;82.1;13.9|0
[2018-06-06 15:04:53.241] 91|-1.001;-0.039;0.126|0.7;-1.0;2.9|-160.6;82.1;14.0|0
[2018-06-06 15:04:53.256] 92|-1.005;-0.036;0.128|0.7;-0.8;3.0|-160.4;82.1;14.2|0
[2018-06-06 15:04:53.256] 93|-1.007;-0.035;0.128|0.7;-0.8;3.1|-160.2;82.1;14.3|0
[2018-06-06 15:04:53.272] 94|-1.009;-0.033;0.129|0.7;-0.8;3.1|-160.1;82.2;14.4|0
[2018-06-06 15:04:53.288] 95|-1.011;-0.032;0.131|0.6;-0.8;2.9|-160.0;82.2;14.4|0
[2018-06-06 15:04:53.288] 96|-1.009;-0.032;0.133|0.6;-0.7;3.2|-160.0;82.2;14.4|0
[2018-06-06 15:04:53.303] 97|-1.008;-0.033;0.134|0.8;-0.6;3.2|-159.9;82.2;14.4|0
[2018-06-06 15:04:53.319] 98|-1.007;-0.034;0.137|0.9;-0.8;3.3|-160.0;82.2;14.3|0
[2018-06-06 15:04:53.319] 99|-1.004;-0.034;0.137|0.7;-0.8;3.3|-160.0;82.2;14.3|0
[2018-06-06 15:04:53.341] 100|-1.002;-0.036;0.136|0.5;-0.9;3.4|-160.0;82.2;14.3|0
[2018-06-06 15:04:53.352] 101|-1.003;-0.038;0.137|0.6;-0.8;3.3|-160.1;82.2;14.3|0
[2018-06-06 15:04:53.352] 102|-1.001;-0.039;0.135|0.7;-1.2;3.3|-160.1;82.2;14.3|0
[2018-06-06 15:04:53.368] 103|-1.001;-0.040;0.136|0.6;-1.0;3.2|-160.1;82.2;14.3|0
[2018-06-06 15:04:53.384] 104|-1.002;-0.040;0.135|0.7;-0.8;3.1|-160.1;82.2;14.4|0
[2018-06-06 15:04:53.384] 105|-1.003;-0.040;0.132|0.7;-1.2;3.1|-160.1;82.2;14.5|0
